id,createdAt,updatedAt,deletedAt,firstName,lastName,email,phone,password,avatar,role,isActive,isVerified,lastLoginAt,verificationToken,resetPasswordToken,resetPasswordExpires,address,preferences,rating,companyId,currentJobId
bcf9b2a6-78d5-4b7e-bbaf-b9b11a7cb89f,2025-11-08 10:29:23.163,2025-11-08 10:29:23.162,,test,Passenger,guest-1762597763162-82a0fqe11n@dispatch.local,543432,$2a$10$TtL4HjEfeD6j8LQ.0E1gOu5Nojlv.1nc98lTqzSmVdpfypaAz2.Se,,PASSENGER,t,f,,,,,,,,cmhevs52g00059ky427qd5kxe,
cmhew17ks001v9ks1a8tdkjx1,2025-10-31 13:27:20.476,2025-10-31 13:46:47.055,,Passenger4,Test,passenger4@example.com,+12345678004,$2a$10$chSbf08O5WHB.pC/Xw0QOuI/RVXXt1OGjcfWvYx08.Etfih3Fhewu,,PASSENGER,t,t,,,,,,,,,
cmhew17kt001w9ks1q2kjebes,2025-10-31 13:27:20.477,2025-10-31 13:46:47.056,,Passenger5,Test,passenger5@example.com,+12345678005,$2a$10$chSbf08O5WHB.pC/Xw0QOuI/RVXXt1OGjcfWvYx08.Etfih3Fhewu,,PASSENGER,t,t,,,,,,,,,
cmhevs52800019ky4fbc6vg05,2025-10-31 13:20:17.312,2025-10-31 13:46:46.817,,John,Smith,owner@citytaxi.com,+1234567891,$2a$10$VMdUfXRofV066sdKxSPCEe76WsyKTKYZjTLmkJf9RlrwoiGG4Wdoi,,OWNER,t,t,,,,,,,,,
cmhevs52a00029ky4rujd5cpo,2025-10-31 13:20:17.315,2025-10-31 13:46:46.819,,Sarah,Johnson,owner@elitetaxi.com,+1234567892,$2a$10$VMdUfXRofV066sdKxSPCEe76WsyKTKYZjTLmkJf9RlrwoiGG4Wdoi,,OWNER,t,t,,,,,,,,,
cmhevs52c00039ky4vu438tum,2025-10-31 13:20:17.317,2025-10-31 13:46:46.82,,Mike,Davis,owner@metrorides.com,+1234567893,$2a$10$VMdUfXRofV066sdKxSPCEe76WsyKTKYZjTLmkJf9RlrwoiGG4Wdoi,,OWNER,t,t,,,,,,,,,
cmhevs55g000f9ky46m41p8eq,2025-10-31 13:20:17.428,2025-10-31 13:46:46.925,,Driver2,Test,driver2@city001.com,+12345678902,$2a$10$9yqKH3YmXS9/BnTv.lb1jeKHEIlLw41jluq/jeYSXdpnm1/tonUry,,DRIVER,t,t,,,,,,,,cmhevs52g00059ky427qd5kxe,
cmhevs55j000j9ky4le8nx8rf,2025-10-31 13:20:17.431,2025-10-31 13:46:46.927,,Driver3,Test,driver3@city001.com,+12345678903,$2a$10$9yqKH3YmXS9/BnTv.lb1jeKHEIlLw41jluq/jeYSXdpnm1/tonUry,,DRIVER,t,t,,,,,,,,cmhevs52g00059ky427qd5kxe,
cmhevs55l000n9ky4qajzov09,2025-10-31 13:20:17.434,2025-10-31 13:46:46.929,,Driver4,Test,driver4@elite001.com,+12345678904,$2a$10$9yqKH3YmXS9/BnTv.lb1jeKHEIlLw41jluq/jeYSXdpnm1/tonUry,,DRIVER,t,t,,,,,,,,cmhevs52o00079ky41o3lkbee,
cmhevs55n000r9ky4zqs4l1k5,2025-10-31 13:20:17.436,2025-10-31 13:46:46.931,,Driver5,Test,driver5@elite001.com,+12345678905,$2a$10$9yqKH3YmXS9/BnTv.lb1jeKHEIlLw41jluq/jeYSXdpnm1/tonUry,,DRIVER,t,t,,,,,,,,cmhevs52o00079ky41o3lkbee,
cmhevs55q000v9ky4h5lzrtaq,2025-10-31 13:20:17.438,2025-10-31 13:46:46.933,,Driver6,Test,driver6@elite001.com,+12345678906,$2a$10$9yqKH3YmXS9/BnTv.lb1jeKHEIlLw41jluq/jeYSXdpnm1/tonUry,,DRIVER,t,t,,,,,,,,cmhevs52o00079ky41o3lkbee,
cmhevs55t000z9ky4sn1zbzwc,2025-10-31 13:20:17.441,2025-10-31 13:46:46.935,,Driver7,Test,driver7@metro001.com,+12345678907,$2a$10$9yqKH3YmXS9/BnTv.lb1jeKHEIlLw41jluq/jeYSXdpnm1/tonUry,,DRIVER,t,t,,,,,,,,cmhevs52s00099ky4aqisl0yv,
cmhevs55u00139ky4zrd0rngo,2025-10-31 13:20:17.443,2025-10-31 13:46:46.937,,Driver8,Test,driver8@metro001.com,+12345678908,$2a$10$9yqKH3YmXS9/BnTv.lb1jeKHEIlLw41jluq/jeYSXdpnm1/tonUry,,DRIVER,t,t,,,,,,,,cmhevs52s00099ky4aqisl0yv,
cmhevs55w00179ky4225staax,2025-10-31 13:20:17.445,2025-10-31 13:46:46.939,,Driver9,Test,driver9@metro001.com,+12345678909,$2a$10$9yqKH3YmXS9/BnTv.lb1jeKHEIlLw41jluq/jeYSXdpnm1/tonUry,,DRIVER,t,t,,,,,,,,cmhevs52s00099ky4aqisl0yv,
cmhew17km001s9ks1qup0zre9,2025-10-31 13:27:20.47,2025-10-31 13:46:47.051,,Passenger1,Test,passenger1@example.com,+12345678001,$2a$10$chSbf08O5WHB.pC/Xw0QOuI/RVXXt1OGjcfWvYx08.Etfih3Fhewu,,PASSENGER,t,t,,,,,,,,,
cmhew17kp001t9ks1p5dy0rxe,2025-10-31 13:27:20.473,2025-10-31 13:46:47.053,,Passenger2,Test,passenger2@example.com,+12345678002,$2a$10$chSbf08O5WHB.pC/Xw0QOuI/RVXXt1OGjcfWvYx08.Etfih3Fhewu,,PASSENGER,t,t,,,,,,,,,
cmhew17kq001u9ks1vkieyts3,2025-10-31 13:27:20.475,2025-10-31 13:46:47.054,,Passenger3,Test,passenger3@example.com,+12345678003,$2a$10$chSbf08O5WHB.pC/Xw0QOuI/RVXXt1OGjcfWvYx08.Etfih3Fhewu,,PASSENGER,t,t,,,,,,,,,
cmhevs4zk00009ky40p4l29d5,2025-10-31 13:20:17.217,2025-10-31 13:46:46.726,,Super,Admin,admin@abtaxi.com,+1234567890,$2a$10$O.K2qfZYEtXFEonxcvWQKe4.85BARvtTokFdhepNPUahdDPEmaji6,,SUPER_ADMIN,t,t,,,,,,"{""currency"": ""USD"", ""language"": ""en"", ""notifications"": {""sms"": false, ""push"": true, ""email"": true}}",,,
e4e1c770-d5e1-4d02-8117-d59599ba1536,2025-11-17 20:55:15.69,2025-11-17 20:55:15.689,,test,Passenger,guest-1763412915689-m5k96zzn5cb@dispatch.local,+97423321342,$2a$10$XkoVeQUR.TBczud/y7IFI.fNdMCM96xydJ/QF5gfqZXCMU3qosvDO,,PASSENGER,t,f,,,,,,,,cmhevs52g00059ky427qd5kxe,
cmhfa9da900019kgotgxl322j,2025-10-31 20:05:35.745,2025-10-31 20:05:35.745,,iftikhar,malik,dispatch@citytaxi.com,+97477196492,$2a$10$QB2gx8mdsJt3sIBWJcVsCucWCATNSSHN6knKTfrhI.8vh0DfXLUIG,,DISPATCHER,t,t,,,,,"{""city"": ""doha"", ""street"": ""Al Miqdad St , doha qatar\nAl Miqdad St , doha qatar""}",,,cmhevs52g00059ky427qd5kxe,
71ce5e7d-7fdc-406b-b007-1f16d2d5b97e,2025-11-18 05:41:21.071,2025-11-18 05:41:21.07,,NewOne,Passenger,guest-1763444481070-dzzl1u6eds@dispatch.local,4323443234,$2a$10$87odz0LaGfDDlh8XRQ91Del.nAFLY5l.y5v0iky0.Olt6KK8HZ.wC,,PASSENGER,t,f,,,,,,,,cmhevs52g00059ky427qd5kxe,
655e4fb2-d7ff-4d00-aa79-250728ee1a1b,2025-11-18 05:49:16.727,2025-11-18 05:49:16.726,,testss,Passenger,guest-1763444956726-ensjcelisja@dispatch.local,452343234,$2a$10$33CwpADKcqU.3/tkBOi5VuGkQeUeSmbsGZ/d8/UcRQhE4I2t5/6Ne,,PASSENGER,t,f,,,,,,,,cmhevs52g00059ky427qd5kxe,
4b9f55b0-5adb-4892-8083-0df5fb0b32f4,2025-11-18 05:53:05.822,2025-11-18 05:53:05.821,,trwsdrwsd,Passenger,guest-1763445185821-nfah7rkfwmn@dispatch.local,3432343234,$2a$10$DL9BrDELwIllnWdA1Bvox.cKnZxAzCBnHNpgPNe4EGc2LRksOfjBe,,PASSENGER,t,f,,,,,,,,cmhevs52g00059ky427qd5kxe,
8d2be437-36b7-49dd-92a8-5ebc69f0c403,2025-11-07 12:39:26.971,2025-11-07 12:39:26.97,,test,Passenger,guest-1762519166969-rmb5kvd243a@dispatch.local,123213123,$2a$10$OEg/m0jL54dK6BuTNOgRKO9lWm2gS39gMqle.iz.XeyXu4l.MvQjO,,PASSENGER,t,f,,,,,,,,cmhevs52g00059ky427qd5kxe,
494a87e8-5a40-4546-bbda-4eff29abfd6a,2025-11-07 21:23:46.06,2025-11-07 21:23:46.059,,etst,Passenger,guest-1762550626059-2cf5wswjh21@dispatch.local,5434343243,$2a$10$dWCsxek.F5gn2KlYCHZ2R..BBqlRNIigWzCJyea371EZ85zSPj2YO,,PASSENGER,t,f,,,,,,,,cmhevs52g00059ky427qd5kxe,
